TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
6.77,7.1,10,2,8,7,5,1
6.76,9.6,3,1.5,9,3.5,7,1
6.76,9.1,11,1.2,8.5,7,5.5,1
6.76,5.7,9,2.5,4.5,7.5,7,1
6.75,6.1,3,2.3,7,7,6,1
6.75,6,4,2,6,6,7.5,1
6.75,5.2,6,3,5.5,7.5,6,1
6.73,8.3,12,2.9,8,7,8,1
6.73,8.3,4,2.1,9,7.5,7.5,1
6.72,9.4,3,2.2,8.5,6.5,8,1
6.72,9.2,8,1.6,10,6,6.5,1
6.72,8.9,12,1.9,8,6.5,6,1
6.72,7.8,9,1.7,4.5,7,7,1
6.7,5.5,4,2.6,4,6,9,1
6.69,7,0,1.9,7,6,6,1
6.69,6.7,4,3,6,6,7,1
6.66,7.9,11,1.9,7,7,6,1
6.64,5.1,3,2.9,5.5,6,7.5,1
6.62,8.4,5,2.3,8.5,7.5,8,1
6.62,7,3,2.8,7,6,8,1
6.62,6.5,12,1.6,6,7,6,1
6.61,6.9,8,2.2,6.5,6,6,0
6.6,8.4,10,2.2,9,7,6,1
6.6,6.8,3,2.5,6,7,6.5,1
6.59,8.5,1,1,8,6.5,8,1
6.59,7.5,0,3.1,7.5,7.5,5,1
6.58,7.3,11,2.4,7,7,6,1
6.58,7.1,3,1.9,7,7.5,6,1
6.58,6.5,2,2.4,7,6,6,1
6.57,7.8,11,2.9,8,5.5,6,1
6.56,8.6,0,1.5,8.5,6,5.5,1
6.56,4.5,7,1.9,5,7.5,7,0
6.55,9.4,11,2.1,9.5,6.5,6,1
6.53,7.2,3,1.6,8,6,6,1
6.53,6.3,0,1.7,6,6.5,6,0
6.52,9.5,1,1.2,9.5,7,9,1
6.51,7.3,2,2.6,8,7,6.5,1
6.5,7.4,2,2.5,7,6.5,7,1
6.5,6,0,2.8,5.5,7,6,0
6.5,4.6,10,1.4,5,6,7,0
6.49,8.4,7,2.5,7.5,7,6,1
6.47,1.7,4,1,5.5,5,5.5,0
6.46,8.4,6,1.8,7.5,7,5.5,1
6.45,9.8,5,2.7,9.5,6,8,1
6.44,6.6,0,1.1,6.5,6.5,6,1
6.43,6.1,7,1.8,7,7,7.5,1
6.42,7.3,8,2.2,7,7,6,1
6.4,8.8,4,1.6,9.5,6,6.5,1
6.4,8,6,2.7,7.5,5.5,8,1
6.37,9.3,1,2.3,8.5,6.5,7,1
6.37,8.2,1,1.8,8,7,7.5,1
6.37,6.2,12,1.5,5.5,6,6.5,0
6.35,9.4,9,2.5,9,7,7,1
6.35,6.6,6,1.1,7.5,6.5,6,1
6.33,8.5,6,2.3,9,6,7,1
6.33,7.8,1,3.1,8,6,8,1
6.33,7.8,3,2.2,8,7,6,1
6.3,4.7,4,1.6,5.5,7,7,0
6.29,8.1,9,2.6,7.5,7,6,1
6.29,5.8,2,1.5,6.5,6.5,8,1
6.28,7.5,10,1.8,7,6.5,7.5,1
6.28,7.4,10,1.9,6.5,6.5,7.5,1
6.27,6.7,5,3.1,7.5,6,9,1
6.26,7.5,10,1.2,8,7,6,1
6.26,5,7,1,5.5,6,6.5,0
6.24,7.7,0,2.6,8.5,6,7.5,1
6.23,9.8,8,2.3,9,6.5,8,1
6.23,9.8,6,1.7,9,6,6.5,1
6.23,7.7,12,1.6,8.5,6.5,8.5,1
6.23,7.5,7,2,8,6.5,6,1
6.23,7.2,4,1.6,8,5.5,6,1
6.23,6.3,3,2.5,6,7,6.5,1
6.22,7.2,2,2.4,6.5,6,6,0
6.22,6.7,4,1.8,6.5,5.5,8.5,1
6.21,8.8,6,1.4,8.5,6,7.5,1
6.21,8.7,10,1.9,9,6.5,5,1
6.2,8.6,9,2,9.5,7,7.5,1
6.2,7.1,1,2.9,7,7,5.5,1
6.18,8.7,10,1.5,8.5,7,5,1
6.18,8.4,11,1.9,8,7,5,1
6.18,7.4,1,1.1,7,7,5.5,1
6.18,7.2,10,2.4,6.5,6.5,9,1
6.17,6.7,8,1.2,7,6,9,1
6.16,8.2,7,1.6,7.5,5.5,9,1
6.16,7.2,2,2,6.5,7,6,1
6.15,7.2,2,2.6,7,6,6,1
6.12,6.7,7,2.8,6,7,6,1
6.09,8.4,12,1.8,9,7,8,1
6.09,7.1,4,2.9,8,7,5,1
6.09,5.3,4,3.1,6,5.5,6.5,0
6.08,8.5,4,2.6,8,6,8.5,1
6.08,7.7,6,2,7.5,6.5,6,1
6.08,6.9,10,2.5,7.5,6,6,1
6.07,6.3,4,2.9,5.5,7,6,0
6.06,9.5,10,1.9,9,7,7,1
6.06,9.2,3,2.7,9.5,7,9,1
6.06,6.8,8,1.9,6,7,6,1
6.06,5.4,4,1.8,6,6,7,1
6.05,5.5,7,1.9,5,6,7,1
6.04,8.2,5,2.7,8,7,5,1
6.03,6.8,4,2.2,6,6,7,1
6.01,8.1,7,3,8.5,5.5,7,1
6.01,8,5,1.8,7,7,7,1
6,9,10,1.9,9,6,7,1
5.99,9.3,12,2.1,9,6.5,8.5,1
5.98,6.7,11,3,7.5,6.5,6,1
5.98,6.3,5,2.8,6.5,6,7,1
5.98,5.7,5,1.2,6.5,5,9,1
5.97,6.6,2,2,6.5,6,6,0
5.97,4.6,4,3,5.5,5.5,7,0
5.96,9.9,9,2,9.5,5.5,6.5,1
5.94,8.3,2,1.8,8,5.5,8,1
5.91,6.8,4,2.5,7.5,5.5,8,1
5.91,4.7,12,1.9,4,6.5,8.5,0
5.88,8.8,10,2.4,8,6.5,8,1
5.88,5.9,11,1.1,5,6.5,6.5,0
5.83,6.5,1,1.2,7,5.5,8,1
5.82,6.2,3,1.9,6.5,5.5,9,1
5.81,7.8,12,2.8,7,6,7.5,1
5.73,8.9,4,1.4,8.5,6.5,7.5,1
5.73,5.8,1,1.1,6,6,6.5,1
5.73,5.3,4,3.1,5.5,5.5,8,1
5.72,6.3,5,2.4,6.5,5,6.5,0
5.7,8.7,10,1.1,8,6,9.5,1
5.7,7.5,0,2.7,8,6.5,5.5,1
5.7,6,2,2.7,7,6,7,1
5.69,6.5,10,2.5,7,6,8,1
5.67,5.7,10,2.5,5.5,6,7,1
5.66,8.3,0,2.1,8.5,4.5,6,1
